Isle Of Man;"<img src=""reg-2.png"" />"
Israel;"<img src=""reg-1.png"" />"
Italy;"<img src=""reg-2.png"" />"
Jamaica;"<img src=""reg-9.png"" />"
Japan;"<img src=""reg-10.png"" />"
Jersey;"<img src=""reg-18.png"" />"
Jordan;"<img src=""reg-1.png"" />"
Kazakhstan;"<img src=""reg-1.png"" />"
Kenya;"<img src=""reg-3.png"" />"
Kiribati;"<img src=""reg-5.png"" />"
North Korea;"<img src=""reg-10.png"" />"
South Korea;"<img src=""reg-10.png"" />"
Kosovo;"<img src=""reg-2.png"" />"
Kuwait;"<img src=""reg-1.png"" />"
Kyrgyzstan;"<img src=""reg-1.png"" />"
Laos;"<img src=""reg-10.png"" />"
Latvia;"<img src=""reg-2.png"" />"
Lebanon;"<img src=""reg-1.png"" />"
Lesotho;"<img src=""reg-3.png"" />"
Liberia;"<img src=""reg-3.png"" />"
Libya;"<img src=""reg-3.png"" />"
Liechtenstein;"<img src=""reg-6.png"" />"
Lithuania;"<img src=""reg-2.png"" />"
Luxembourg;"<img src=""reg-2.png"" />"
Macao;"<img src=""reg-17.png"" />"
North Macedonia;"<img src=""reg-2.png"" />"
Madagascar;"<img src=""reg-3.png"" />"
Malawi;"<img src=""reg-3.png"" />"
Malaysia;"<img src=""reg-10.png"" />"
Maldives;"<img src=""reg-10.png"" />"
Mali;"<img src=""reg-3.png"" />"
Malta;"<img src=""reg-2.png"" />"
Marshall Islands;"<img src=""reg-5.png"" />"
Mauritania;"<img src=""reg-3.png"" />"
Mauritius;"<img src=""reg-19.png"" />"
Mexico;"<img src=""reg-12.png"" />"
Micronesia, Federated States Of;"<img src=""reg-5.png"" />"
Moldova;"<img src=""reg-2.png"" />"
Monaco;"<img src=""reg-6.png"" />"
Mongolia;"<img src=""reg-10.png"" />"
Montenegro;"<img src=""reg-2.png"" />"
Montserrat;"<img src=""reg-9.png"" />"
Morocco;"<img src=""reg-3.png"" />"
Mozambique;"<img src=""reg-3.png"" />"
Myanmar;"<img src=""reg-10.png"" />"
Namibia;"<img src=""reg-3.png"" />"
Nauru;"<img src=""reg-5.png"" />"
Nepal;"<img src=""reg-10.png"" />"
Netherlands;"<img src=""reg-2.png"" />"
New Caledonia;"<img src=""reg-5.png"" />"
New Zealand;"<img src=""reg-5.png"" />"
Nicaragua;"<img src=""reg-9.png"" />"
Niger;"<img src=""reg-3.png"" />"
Nigeria;"<img src=""reg-3.png"" />"
Niue;"<img src=""reg-5.png"" />"
Norfolk Island;"<img src=""reg-5.png"" />"
Northern Ireland;"<img src=""reg-2.png"" />"
Northern Mariana Islands;"<img src=""reg-20.png"" />"
Norway;"<img src=""reg-2.png"" />"
Oman;"<img src=""reg-1.png"" />"
Pakistan;"<img src=""reg-1.png"" />"
Palau;"<img src=""reg-5.png"" />"
Palestine;"<img src=""reg-1.png"" />"
Panama;"<img src=""reg-9.png"" />"
Papua New Guinea;"<img src=""reg-5.png"" />"
Paraguay;"<img src=""reg-8.png"" />"
Peru;"<img src=""reg-8.png"" />"
Philippines;"<img src=""reg-10.png"" />"
Pitcairn Islands;"<img src=""reg-13.png"" />"
Poland;"<img src=""reg-2.png"" />"
Portugal;"<img src=""reg-2.png"" />"
Puerto Rico;"<img src=""reg-9.png"" />"
Qatar;"<img src=""reg-1.png"" />"
Romania;"<img src=""reg-2.png"" />"
Russia;"<img src=""reg-21.png"" />"
Rwanda;"<img src=""reg-3.png"" />"
Saint Barthélemy;"<img src=""reg-9.png"" />"
Saint Kitts and Nevis;"<img src=""reg-9.png"" />"
Saint Lucia;"<img src=""reg-9.png"" />"
Saint Vincent and The Grenadines;"<img src=""reg-9.png"" />"
Samoa;"<img src=""reg-5.png"" />"
San Marino;"<img src=""reg-6.png"" />"
Saudi Arabia;"<img src=""reg-1.png"" />"
Scotland;"<img src=""reg-2.png"" />"
Senegal;"<img src=""reg-3.png"" />"
Serbia;"<img src=""reg-2.png"" />"
Seychelles;"<img src=""reg-19.png"" />"
Sierra Leone;"<img src=""reg-3.png"" />"
Singapore;"<img src=""reg-22.png"" />"
Sint Maarten;"<img src=""reg-9.png"" />"
Slovakia;"<img src=""reg-2.png"" />"
Slovenia;"<img src=""reg-2.png"" />"
Solomon Islands;"<img src=""reg-5.png"" />"
Somalia;"<img src=""reg-3.png"" />"
South Africa;"<img src=""reg-3.png"" />"
South Georgia and The South Sandwich Islands;"<img src=""reg-23.png"" />"
South Sudan;"<img src=""reg-3.png"" />"
Spain;"<img src=""reg-2.png"" />"
Sri Lanka;"<img src=""reg-10.png"" />"
Sudan;"<img src=""reg-3.png"" />"
Suriname;"<img src=""reg-8.png"" />"
Eswatini;"<img src=""reg-3.png"" />"
Sweden;"<img src=""reg-2.png"" />"
Switzerland;"<img src=""reg-2.png"" />"
Syria;"<img src=""reg-1.png"" />"
São Tomé and Príncipe;"<img src=""reg-3.png"" />"
Taiwan;"<img src=""reg-10.png"" />"
Tajikistan;"<img src=""reg-1.png"" />"
Tanzania;"<img src=""reg-3.png"" />"
Thailand;"<img src=""reg-10.png"" />"
Timor-Leste;"<img src=""reg-10.png"" />"
Togo;"<img src=""reg-3.png"" />"
Tonga;"<img src=""reg-5.png"" />"
Trinidad and Tobago;"<img src=""reg-9.png"" />"
Tunisia;"<img src=""reg-3.png"" />"
Turkey;"<img src=""reg-2.png"" />"
Turkmenistan;"<img src=""reg-1.png"" />"
Turks and Caicos Islands;"<img src=""reg-9.png"" />"
Tuvalu;"<img src=""reg-5.png"" />"
Uganda;"<img src=""reg-3.png"" />"
Ukraine;"<img src=""reg-2.png"" />"
United Arab Emirates;"<img src=""reg-1.png"" />"
United Kingdom;"<img src=""reg-2.png"" />"
United States Of America;"<img src=""reg-24.png"" />"
Uruguay;"<img src=""reg-8.png"" />"
Uzbekistan;"<img src=""reg-1.png"" />"
Vanuatu;"<img src=""reg-5.png"" />"
Vatican City;"<img src=""reg-6.png"" />"
Venezuela;"<img src=""reg-8.png"" />"
Vietnam;"<img src=""reg-10.png"" />"
Virgin Islands, British;"<img src=""reg-9.png"" />"
Virgin Islands, Us;"<img src=""reg-9.png"" />"
Wales;"<img src=""reg-2.png"" />"
Western Sahara;"<img src=""reg-3.png"" />"
Yemen;"<img src=""reg-1.png"" />"
Zambia;"<img src=""reg-3.png"" />"
Zimbabwe;"<img src=""reg-3.png"" />"
